capital,university,venture,enterprise,procurement_before,acc_short,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service
155000.0,1.0,0.0,0.0,0.0,False,0.0,1,0,0,0,0,0
58000.0,0.0,1.0,0.0,11162.0,False,0.0,0,0,0,1,0,0
100000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
6000.0,0.0,0.0,0.0,1000.0,False,0.0,0,0,0,0,1,0
45000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
29000.0,0.0,0.0,1.0,1200.0,False,0.0,0,0,0,0,1,0
7000.0,0.0,1.0,1.0,0.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,20000.0,False,0.0,0,0,0,0,1,0
94000.0,0.0,0.0,0.0,2000.0,False,0.0,0,0,0,1,0,0
202000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,0,1
29000.0,0.0,0.0,1.0,6000.0,False,0.0,0,1,0,0,0,0
104000.0,0.0,0.0,1.0,4000.0,False,0.0,0,0,0,0,0,1
5000.0,0.0,0.0,1.0,200.0,False,0.0,0,0,0,0,0,1
106000.0,0.0,0.0,1.0,8400.0,False,43500.0,0,0,0,0,1,0
9000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
4000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
1000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
9000.0,1.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
90000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
500.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
10000.0,0.0,0.0,1.0,10000.0,False,0.0,1,0,0,0,0,0
40000.0,0.0,0.0,0.0,1000.0,False,5000.0,0,0,0,0,1,0
15000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
12000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,0,1
15000.0,0.0,0.0,0.0,15000.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,1.0,5000.0,False,0.0,0,0,0,0,0,1
49000.0,0.0,0.0,1.0,10000.0,False,0.0,0,0,0,0,0,1
100000.0,0.0,0.0,1.0,1597500.0,False,0.0,0,0,0,0,1,0
33000.0,0.0,0.0,1.0,500.0,False,0.0,0,0,0,0,0,1
109000.0,0.0,0.0,0.0,9000.0,False,0.0,1,0,0,0,0,0
5000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
109000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
31000.0,0.0,0.0,1.0,56000.0,False,0.0,0,0,0,0,0,1
35000.0,0.0,0.0,1.0,5000.0,False,0.0,1,0,0,0,0,0
16000.0,0.0,1.0,0.0,5000.0,False,0.0,0,0,0,0,0,1
65000.0,0.0,0.0,1.0,0.0,False,0.0,0,1,0,0,0,0
55000.0,0.0,1.0,0.0,30000.0,False,0.0,0,0,0,0,1,0
37000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
16000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
60000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,1,0
46000.0,0.0,1.0,0.0,12000.0,False,0.0,0,0,0,0,1,0
1000.0,1.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
22000.0,0.0,1.0,0.0,1000.0,False,0.0,0,0,0,0,0,1
26000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
1000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
100.0,1.0,0.0,0.0,99100.0,False,0.0,0,0,0,1,0,0
2000.0,0.0,0.0,0.0,2000.0,False,0.0,0,0,0,0,0,1
85000.0,0.0,0.0,1.0,7000.0,False,162000.0,0,0,0,0,0,1
13000.0,0.0,0.0,1.0,3000.0,False,0.0,0,0,0,0,0,1
92000.0,0.0,1.0,0.0,4000.0,False,0.0,0,0,0,0,1,0
277000.0,0.0,0.0,1.0,10000.0,False,28220.0,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,0.0,True,0.0,0,0,0,0,1,0
8000.0,1.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,1.0,0.0,500.0,False,0.0,0,0,0,0,0,1
42000.0,0.0,0.0,0.0,15100.0,False,0.0,0,0,0,0,0,1
3000.0,0.0,0.0,0.0,3000.0,True,10000.0,0,0,0,0,1,0
300000.0,0.0,0.0,1.0,110642.0,False,0.0,0,0,0,0,1,0
70000.0,0.0,0.0,0.0,9980.0,False,0.0,1,0,0,0,0,0
93000.0,0.0,0.0,1.0,100000.0,False,66980.0,0,0,0,0,1,0
91000.0,0.0,1.0,0.0,71700.0,False,0.0,0,0,0,1,0,0
21000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
17000.0,0.0,1.0,0.0,2500.0,False,0.0,0,0,0,0,1,0
78000.0,0.0,0.0,1.0,6453.0,False,0.0,0,0,0,0,0,1
30000.0,0.0,1.0,0.0,15000.0,False,0.0,0,0,0,0,0,1
2000.0,0.0,0.0,0.0,1500.0,False,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,2000.0,False,0.0,0,0,0,0,0,1
34000.0,0.0,0.0,0.0,50.0,False,0.0,0,0,0,0,0,1
14000.0,0.0,0.0,0.0,10000.0,False,2500.0,0,0,0,1,0,0
89000.0,0.0,0.0,0.0,50.0,False,0.0,0,0,0,0,0,1
40000.0,1.0,0.0,0.0,5000.0,False,0.0,0,0,0,0,1,0
181000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
50000.0,0.0,0.0,0.0,99900.0,False,0.0,0,0,0,0,0,1
75000.0,0.0,1.0,0.0,3000.0,False,14600.0,0,0,0,0,0,1
10000.0,0.0,1.0,0.0,10000.0,False,0.0,0,0,0,0,1,0
66000.0,0.0,1.0,0.0,1000.0,False,65120.0,0,0,0,0,1,0
14000.0,1.0,0.0,1.0,6100.0,False,0.0,0,0,0,1,0,0
125000.0,0.0,1.0,0.0,183950.0,False,0.0,0,0,0,0,1,0
6000.0,1.0,0.0,1.0,0.0,False,0.0,1,0,0,0,0,0
74000.0,1.0,0.0,1.0,2000.0,False,143504.0,1,0,0,0,0,0
135000.0,0.0,0.0,0.0,9900.0,False,0.0,0,0,0,0,1,0
22000.0,0.0,0.0,0.0,0.0,False,2000.0,0,0,0,0,1,0
44000.0,0.0,0.0,1.0,3730.0,False,0.0,0,0,0,0,1,0
11000.0,0.0,0.0,0.0,10000.0,False,0.0,0,0,0,0,0,1
23000.0,0.0,0.0,0.0,500.0,True,20000.0,0,0,0,0,0,1
42000.0,0.0,0.0,1.0,16007.0,True,0.0,0,0,0,0,0,1
13000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
64000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,1,0,0,0
70000.0,0.0,0.0,1.0,20000.0,False,50000.0,0,0,0,0,0,1
23000.0,0.0,0.0,0.0,3000.0,False,20400.0,0,0,0,0,1,0
7000.0,0.0,1.0,0.0,7000.0,False,55000.0,0,0,0,0,0,1
10000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,0.0,1000.0,True,7000.0,0,0,0,0,0,1
30000.0,0.0,1.0,0.0,10000.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,0.0,1.0,0.0,True,0.0,0,0,0,0,1,0
10000.0,0.0,1.0,0.0,10000.0,False,0.0,0,0,0,0,1,0
2000.0,0.0,1.0,0.0,2000.0,False,0.0,0,0,0,0,0,1
50000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
10000.0,0.0,0.0,1.0,10000.0,False,0.0,0,0,0,0,1,0
100000.0,0.0,0.0,1.0,160000.0,False,0.0,0,0,0,1,0,0
30000.0,0.0,1.0,0.0,30000.0,False,0.0,0,0,0,0,1,0
2000.0,1.0,0.0,0.0,2000.0,False,0.0,0,0,0,0,1,0
100000.0,0.0,0.0,0.0,100000.0,False,0.0,0,0,0,0,0,1
8000.0,0.0,0.0,1.0,0.0,False,15000.0,0,0,0,0,1,0
99000.0,0.0,1.0,0.0,3000.0,False,0.0,0,0,0,0,0,1
10000.0,0.0,1.0,0.0,9500.0,False,0.0,0,0,1,0,0,0
52000.0,0.0,0.0,1.0,5000.0,False,0.0,0,1,0,0,0,0
113000.0,0.0,0.0,1.0,3000.0,False,110000.0,0,0,0,0,0,1
20000.0,0.0,0.0,1.0,20000.0,False,0.0,0,0,0,0,1,0
49000.0,1.0,0.0,1.0,5000.0,False,0.0,1,0,0,0,0,0
30000.0,0.0,1.0,0.0,30000.0,False,0.0,0,0,0,0,1,0
70000.0,1.0,1.0,0.0,900.0,False,30000.0,1,0,0,0,0,0
50000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,0,0,1
65000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
96000.0,0.0,1.0,0.0,94568.0,False,40143.0,0,0,0,0,1,0
22000.0,0.0,1.0,0.0,0.0,False,0.0,0,1,0,0,0,0
810.0,1.0,0.0,1.0,0.0,False,0.0,1,0,0,0,0,0
3000.0,0.0,1.0,0.0,3000.0,False,0.0,0,0,0,0,1,0
5000.0,0.0,1.0,0.0,5000.0,False,0.0,0,0,0,0,1,0
50000.0,0.0,0.0,0.0,70000.0,False,0.0,0,0,0,1,0,0
5000.0,0.0,1.0,0.0,10000.0,False,0.0,0,0,0,0,1,0
40000.0,0.0,0.0,0.0,40000.0,False,0.0,1,0,0,0,0,0
6000.0,0.0,0.0,1.0,6000.0,False,0.0,0,0,0,1,0,0
23000.0,0.0,0.0,0.0,22740.0,False,0.0,0,0,0,0,0,1
34000.0,0.0,0.0,0.0,22740.0,False,0.0,0,0,0,0,0,1
84000.0,0.0,0.0,1.0,77720.0,False,0.0,0,1,0,0,0,0
151000.0,0.0,0.0,1.0,29550.0,True,83760.0,0,0,0,1,0,0
247000.0,1.0,1.0,0.0,1000.0,False,0.0,0,0,0,0,1,0
46000.0,0.0,0.0,0.0,3000.0,False,10000.0,0,0,0,0,1,0
88000.0,0.0,1.0,0.0,1000.0,False,30000.0,0,0,0,0,0,1
99000.0,0.0,0.0,1.0,10100.0,False,16100.0,0,0,0,0,1,0
32000.0,0.0,0.0,1.0,4000.0,False,0.0,0,0,0,0,0,1
133000.0,1.0,0.0,1.0,11500.0,False,0.0,0,0,0,1,0,0
92000.0,1.0,1.0,0.0,2000.0,False,2000.0,0,0,0,0,1,0
272000.0,0.0,1.0,0.0,9000.0,False,0.0,0,0,0,0,0,1
87000.0,0.0,1.0,0.0,0.0,False,0.0,0,0,0,0,1,0
380000.0,0.0,0.0,1.0,5000.0,False,0.0,0,0,0,0,1,0
100000.0,0.0,1.0,0.0,50000.0,False,100000.0,0,0,0,0,1,0
15000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,1,0
2000.0,1.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
4000.0,0.0,0.0,1.0,0.0,False,0.0,0,0,0,1,0,0
20000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,1,0,0
20000.0,0.0,0.0,0.0,0.0,False,0.0,0,0,0,0,0,1
