capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,lgbm_pred,nn_pred
14000.0,0.0,0.0,0.0,1.0,0.0,632.0,0.0,0,0,0,0,0,1,0.14117666168507692,0.5095639
468000.0,0.0,1.0,1.0,0.0,250866.0,,685000.0,0,0,0,0,0,1,0.44882772311766755,1.4588698e-05
117000.0,0.0,0.0,0.0,1.0,1000.0,338.0,10000.0,0,0,0,0,1,0,0.6755513720268055,0.21751308
8000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.5593388433644286,0.53532475
23000.0,0.0,1.0,0.0,1.0,0.0,218.0,0.0,0,0,0,0,0,1,0.4648633721604211,0.47085044
235000.0,0.0,0.0,1.0,1.0,0.0,126.0,70000.0,0,0,0,0,0,1,0.623245347684842,0.026024729
1280000.0,0.0,1.0,0.0,0.0,402999.0,,399996.0,0,0,0,1,0,0,0.2571319992794279,5.439277e-10
60000.0,1.0,1.0,0.0,0.0,38000.0,,77580.0,1,0,0,0,0,0,0.09324539651093099,0.2270092
2000.0,0.0,0.0,0.0,0.0,2000.0,,0.0,1,0,0,0,0,0,0.45866389323527007,0.5503478
166000.0,0.0,0.0,0.0,0.0,1000.0,,40280.0,0,0,0,1,0,0,0.5538122799333298,0.10660115
91000.0,0.0,0.0,1.0,0.0,11600.0,,1050.0,0,0,0,1,0,0,0.6962742820846463,0.49244222
200000.0,0.0,0.0,0.0,0.0,127453.0,,0.0,0,0,0,0,1,0,0.29000452252755726,0.008526176
102000.0,0.0,0.0,1.0,0.0,582500.0,,0.0,1,0,0,0,0,0,0.45006217794791664,3.7873097e-18
100000.0,0.0,0.0,0.0,0.0,50000.0,,0.0,1,0,0,0,0,0,0.35944938960072953,0.10655138
150000.0,0.0,1.0,0.0,0.0,300008.0,,0.0,0,0,0,0,1,0,0.2806296517792793,8.716469e-08
30000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.48715070456562476,0.4409448
30000.0,0.0,0.0,0.0,0.0,50000.0,,0.0,0,0,0,1,0,0,0.14422787578545232,0.08778182
10000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,1,0,0,0.0771976937890012,0.52676773
100000.0,0.0,0.0,1.0,0.0,22150.0,,80000.0,0,0,0,1,0,0,0.5046588290770108,0.32412595
5000.0,0.0,0.0,1.0,1.0,5000.0,243.0,0.0,0,0,0,0,0,1,0.5359813155577116,0.518924
33000.0,0.0,0.0,0.0,0.0,33060.0,,0.0,0,0,0,0,0,1,0.18265223725413265,0.24893337
4000.0,1.0,0.0,0.0,0.0,0.0,,0.0,1,0,0,0,0,0,0.09771164094857214,0.55244756
10000.0,1.0,0.0,1.0,0.0,0.0,,0.0,0,0,1,0,0,0,0.4050271168715918,0.52676857
6000.0,1.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.17576700905596185,0.5439159
1000.0,0.0,0.0,1.0,0.0,0.0,,2328.0,0,0,0,0,0,1,0.5649595694981554,0.5595372
100000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,0,0,1,0,0,0,0.5481209700549015,0.51559806
38000.0,0.0,0.0,0.0,0.0,1000.0,,22300.0,0,0,0,0,0,1,0.3189067205044178,0.50807947
63000.0,0.0,0.0,1.0,0.0,3000.0,,0.0,0,0,0,0,1,0,0.4845059310816555,0.53623444
20000.0,0.0,0.0,1.0,1.0,5000.0,730.0,0.0,1,0,0,0,0,0,0.6783658470063145,0.51013446
153000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.40835159751712524,0.09129962
20000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.3786075635279429,0.4837085
10000.0,0.0,1.0,1.0,0.0,5000.0,,0.0,0,0,0,0,1,0,0.44052970031238325,0.51099086
13000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.4510489911905955,0.51383483
61000.0,0.0,1.0,0.0,0.0,9900.0,,102000.0,0,0,0,0,1,0,0.264518445444929,0.48040032
27000.0,1.0,0.0,0.0,0.0,0.0,,24650.0,0,0,0,1,0,0,0.5095721326872544,0.45372784
18000.0,0.0,0.0,1.0,1.0,0.0,912.0,0.0,0,0,0,0,1,0,0.7119017858067404,0.4923101
37000.0,0.0,0.0,1.0,0.0,7000.0,,30000.0,0,0,0,0,0,1,0.5856381394972036,0.49839503
25000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.8029633098952286,0.4622686
23000.0,0.0,1.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.4925548630355912,0.47082287
16000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.15026577365679689,0.5009535
52000.0,0.0,0.0,1.0,0.0,0.0,,99992.0,0,0,0,0,1,0,0.3493457293736021,0.35061264
2000.0,1.0,0.0,0.0,0.0,0.0,,0.0,1,0,0,0,0,0,0.5389794966936039,0.55927914
100000.0,0.0,1.0,0.0,0.0,0.0,,0.0,0,0,0,0,1,0,0.36282725382586506,0.19126421
58000.0,0.0,1.0,0.0,0.0,0.0,,29400.0,0,0,0,0,1,0,0.140727320749957,0.32747012
23000.0,0.0,1.0,0.0,0.0,3000.0,,32400.0,0,0,0,0,1,0,0.38757831978675666,0.549995
75000.0,0.0,0.0,0.0,0.0,30035.0,,0.0,0,0,0,0,1,0,0.6385501440337603,0.18779707
5000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.06787986946132717,0.5481672
90000.0,0.0,0.0,0.0,0.0,90000.0,,0.0,0,0,0,0,0,1,0.100141470453765,0.02948913
155000.0,1.0,0.0,0.0,0.0,0.0,,50000.0,1,0,0,0,0,0,0.3012914765768675,0.08865279
58000.0,0.0,1.0,0.0,0.0,11162.0,,50100.0,0,0,0,1,0,0,0.11742373575595937,0.45369104
100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,1,0,0,0.3012914765768675,0.19125989
6000.0,0.0,0.0,0.0,1.0,1000.0,534.0,0.0,0,0,0,0,1,0,0.16448455958169075,0.5616176
45000.0,0.0,1.0,0.0,1.0,0.0,768.0,30000.0,0,0,0,0,1,0,0.5537191888962434,0.37854007
29000.0,0.0,0.0,1.0,0.0,1200.0,,29610.0,0,0,0,0,1,0,0.701836115177337,0.554783
7000.0,0.0,1.0,1.0,1.0,0.0,640.0,28000.0,0,0,0,0,1,0,0.7374394081679113,0.5396137
10000.0,0.0,0.0,1.0,0.0,20000.0,,0.0,0,0,0,0,1,0,0.5241384375612208,0.30636883
94000.0,0.0,0.0,0.0,1.0,5000.0,596.0,25000.0,0,0,0,1,0,0,0.6574653285061911,0.5192099
202000.0,0.0,1.0,0.0,0.0,75000.0,,40690.0,0,0,0,0,0,1,0.1227039529236288,0.018063277
29000.0,0.0,0.0,1.0,1.0,6000.0,545.0,45470.0,0,1,0,0,0,0,0.7645501060374829,0.504978
104000.0,0.0,0.0,1.0,0.0,84000.0,,20000.0,0,0,0,0,0,1,0.14330243139034504,0.06294665
5000.0,0.0,0.0,1.0,0.0,10200.0,,0.0,0,0,0,0,0,1,0.6309549452472148,0.43063632
106000.0,0.0,0.0,1.0,0.0,108780.0,,0.0,0,0,0,0,1,0,0.2084676518255007,0.012645543
9000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.6020284839045936,0.53104913
4000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.09771164094857214,0.5524319
1000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,1,0.47932486957628456,0.5595382
9000.0,1.0,0.0,1.0,1.0,0.0,577.0,0.0,0,0,0,1,0,0,0.6020284839045936,0.53105414
